Customer_ID,Risk_Level,Hidden_Persona,Offer_Category,Offer_Details,Data_Leftover_Rule,Projected_Next_Spend
CUST_0019,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0020,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0021,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0022,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0023,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0024,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0025,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0026,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0027,High,1,Unused Data Credit,Crediting ₹31.65 for 21.1GB unused data. Next recharge drops to ₹357.35.,N/A,357.35
CUST_0028,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0029,High,2,Limited Free Booster,Provide 5GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0030,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0031,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0032,High,1,Unused Data Credit,Crediting ₹29.25 for 19.5GB unused data. Next recharge drops to ₹359.75.,N/A,359.75
CUST_0033,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0034,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0035,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0036,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0037,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0038,Medium,1,Unused Data Credit,Crediting ₹58.8 for 39.2GB unused data. Next recharge drops to ₹330.2.,N/A,330.2
CUST_0039,High,2,Limited Free Booster,Provide 5GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0040,High,2,Limited Free Booster,Provide 5GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0041,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0042,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0043,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0044,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0045,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0046,High,1,Unused Data Credit,Crediting ₹28.65 for 19.1GB unused data. Next recharge drops to ₹360.35.,N/A,360.35
CUST_0047,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0048,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0049,Medium,1,Unused Data Credit,Crediting ₹51.0 for 34.0GB unused data. Next recharge drops to ₹338.0.,N/A,338.0
CUST_0050,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0051,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0052,Medium,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0053,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0054,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0055,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0056,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0057,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0058,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0059,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0060,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0061,High,1,Unused Data Credit,Crediting ₹38.55 for 25.7GB unused data. Next recharge drops to ₹350.45.,N/A,350.45
CUST_0062,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0063,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0064,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0065,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0066,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0067,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0068,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0069,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0070,Medium,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0071,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0072,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0073,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0074,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0075,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0076,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0077,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0078,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0079,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0080,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0081,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0082,Medium,1,Unused Data Credit,Crediting ₹51.0 for 34.0GB unused data. Next recharge drops to ₹338.0.,N/A,338.0
CUST_0083,High,2,Limited Free Booster,Provide 5GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0084,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0085,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0086,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0087,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0088,Medium,1,Unused Data Credit,Crediting ₹53.55 for 35.7GB unused data. Next recharge drops to ₹335.45.,N/A,335.45
CUST_0089,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0090,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0091,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0092,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0093,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0094,Medium,1,Unused Data Credit,Crediting ₹39.6 for 26.4GB unused data. Next recharge drops to ₹349.4.,N/A,349.4
CUST_0095,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0096,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0097,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0098,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0099,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0100,Medium,1,Unused Data Credit,Crediting ₹44.1 for 29.4GB unused data. Next recharge drops to ₹344.9.,N/A,344.9
CUST_0101,Medium,1,Unused Data Credit,Crediting ₹46.05 for 30.7GB unused data. Next recharge drops to ₹342.95.,N/A,342.95
CUST_0102,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0103,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0104,Medium,1,Unused Data Credit,Crediting ₹45.45 for 30.3GB unused data. Next recharge drops to ₹343.55.,N/A,343.55
CUST_0105,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0106,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0107,Medium,1,Unused Data Credit,Crediting ₹49.05 for 32.7GB unused data. Next recharge drops to ₹339.95.,N/A,339.95
CUST_0108,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0109,Medium,1,Unused Data Credit,Crediting ₹57.9 for 38.6GB unused data. Next recharge drops to ₹331.1.,N/A,331.1
CUST_0110,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0111,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0112,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0113,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0114,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0115,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0116,Medium,1,Unused Data Credit,Crediting ₹45.9 for 30.6GB unused data. Next recharge drops to ₹343.1.,N/A,343.1
CUST_0117,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0118,Medium,1,Unused Data Credit,Crediting ₹57.9 for 38.6GB unused data. Next recharge drops to ₹331.1.,N/A,331.1
CUST_0119,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0120,Medium,1,Unused Data Credit,Crediting ₹56.85 for 37.9GB unused data. Next recharge drops to ₹332.15.,N/A,332.15
CUST_0121,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0122,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0123,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0124,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0125,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0126,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0127,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0128,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0129,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0130,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0131,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0132,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0133,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0134,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0135,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0136,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0137,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0138,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0139,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0140,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0141,High,1,Unused Data Credit,Crediting ₹28.8 for 19.2GB unused data. Next recharge drops to ₹360.2.,N/A,360.2
CUST_0142,High,2,Limited Free Booster,Provide 5GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0143,Medium,1,Unused Data Credit,Crediting ₹54.9 for 36.6GB unused data. Next recharge drops to ₹334.1.,N/A,334.1
CUST_0144,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0145,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0146,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0147,Medium,1,Unused Data Credit,Crediting ₹43.05 for 28.7GB unused data. Next recharge drops to ₹345.95.,N/A,345.95
CUST_0148,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0149,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0150,Low,1,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0151,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0152,Medium,1,Unused Data Credit,Crediting ₹38.1 for 25.4GB unused data. Next recharge drops to ₹350.9.,N/A,350.9
CUST_0153,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0154,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0155,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0156,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0157,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0158,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0159,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0160,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0161,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0162,High,1,Unused Data Credit,Crediting ₹31.95 for 21.3GB unused data. Next recharge drops to ₹357.05.,N/A,357.05
CUST_0163,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0164,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0165,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0166,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0167,High,1,Unused Data Credit,Crediting ₹46.65 for 31.1GB unused data. Next recharge drops to ₹342.35.,N/A,342.35
CUST_0168,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0169,Medium,1,Unused Data Credit,Crediting ₹55.2 for 36.8GB unused data. Next recharge drops to ₹333.8.,N/A,333.8
CUST_0170,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0171,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0172,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0173,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0174,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0175,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0176,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0177,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0178,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0179,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0180,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0181,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0182,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0183,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0184,High,1,Unused Data Credit,Crediting ₹44.55 for 29.7GB unused data. Next recharge drops to ₹344.45.,N/A,344.45
CUST_0185,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0186,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0187,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0188,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0189,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0190,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0191,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0192,High,1,Unused Data Credit,Crediting ₹38.4 for 25.6GB unused data. Next recharge drops to ₹350.6.,N/A,350.6
CUST_0193,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0194,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0195,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0196,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0197,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0198,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0199,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0200,Medium,1,Unused Data Credit,Crediting ₹44.7 for 29.8GB unused data. Next recharge drops to ₹344.3.,N/A,344.3
CUST_0201,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0202,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0203,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0204,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0205,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0206,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0207,High,2,Limited Free Booster,Provide 4GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0208,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0209,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0210,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0211,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0212,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0213,Medium,1,Unused Data Credit,Crediting ₹27.6 for 18.4GB unused data. Next recharge drops to ₹361.4.,N/A,361.4
CUST_0214,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
